"BehaviorSpace results (NetLogo 6.2.1)"
"Attack-vs-giant-component.nlogo"
"evol-ataque"
"03/23/2022 14:17:23:515 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-ataque","num-ataques","tipo-red","num-nodos","[step]","num-comp","max-tam"
"5","aleatorio","50","aleatoria","500","0","1","500"
"3","aleatorio","50","aleatoria","500","0","1","500"
"4","aleatorio","50","aleatoria","500","0","1","500"
"8","aleatorio","50","aleatoria","500","0","1","500"
"6","aleatorio","50","aleatoria","500","0","1","500"
"2","aleatorio","50","aleatoria","500","0","1","500"
"1","aleatorio","50","aleatoria","500","0","1","500"
"7","aleatorio","50","aleatoria","500","0","1","500"
"1","aleatorio","50","aleatoria","500","1","1","499"
"1","aleatorio","50","aleatoria","500","2","1","498"
"1","aleatorio","50","aleatoria","500","3","1","497"
"4","aleatorio","50","aleatoria","500","1","1","499"
"1","aleatorio","50","aleatoria","500","4","2","495"
"5","aleatorio","50","aleatoria","500","1","3","494"
"8","aleatorio","50","aleatoria","500","1","3","489"
"6","aleatorio","50","aleatoria","500","1","1","499"
"3","aleatorio","50","aleatoria","500","1","1","499"
"5","aleatorio","50","aleatoria","500","2","3","493"
"2","aleatorio","50","aleatoria","500","1","1","499"
"7","aleatorio","50","aleatoria","500","1","1","499"
"5","aleatorio","50","aleatoria","500","3","3","492"
"4","aleatorio","50","aleatoria","500","2","2","496"
"5","aleatorio","50","aleatoria","500","4","9","442"
"7","aleatorio","50","aleatoria","500","2","1","498"
"2","aleatorio","50","aleatoria","500","2","4","489"
"4","aleatorio","50","aleatoria","500","3","2","495"
"5","aleatorio","50","aleatoria","500","5","9","441"
"5","aleatorio","50","aleatoria","500","6","9","440"
"7","aleatorio","50","aleatoria","500","3","1","497"
"1","aleatorio","50","aleatoria","500","5","4","491"
"2","aleatorio","50","aleatoria","500","3","4","488"
"4","aleatorio","50","aleatoria","500","4","4","491"
"5","aleatorio","50","aleatoria","500","7","9","439"
"1","aleatorio","50","aleatoria","500","6","4","490"
"5","aleatorio","50","aleatoria","500","8","11","431"
"4","aleatorio","50","aleatoria","500","5","5","488"
"2","aleatorio","50","aleatoria","500","4","4","487"
"5","aleatorio","50","aleatoria","500","9","12","429"
