"BehaviorSpace results (NetLogo 6.2.1)"
"DistSocialLegara.nlogo"
"dist-social"
"03/29/2022 16:01:46:531 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","pob-total","porcentaje-distancia-social","num-días","alpha","beta","prob-infección-dist-social","[step]","nuevos-infectados / pob-total"
"2","2000","1","30","40","10","20","0","0"
"3","2000","1","30","40","10","60","0","0"
"4","2000","1","30","40","10","90","0","0"
"3","2000","1","30","40","10","60","1","0.001"
"3","2000","1","30","40","10","60","2","0.005"
"2","2000","1","30","40","10","20","1","0.0015"
"5","2000","30","30","40","10","0","0","0"
"1","2000","1","30","40","10","0","0","0"
"7","2000","30","30","40","10","60","0","0"
"8","2000","30","30","40","10","90","0","0"
"6","2000","30","30","40","10","20","0","0"
"4","2000","1","30","40","10","90","1","0.001"
"3","2000","1","30","40","10","60","3","0.018"
"4","2000","1","30","40","10","90","2","0.0025"
"4","2000","1","30","40","10","90","3","0.016"
"3","2000","1","30","40","10","60","4","0.062"
"5","2000","30","30","40","10","0","1","0.001"
"7","2000","30","30","40","10","60","1","0.001"
"4","2000","1","30","40","10","90","4","0.0405"
"8","2000","30","30","40","10","90","1","0"
"3","2000","1","30","40","10","60","5","0.157"
"6","2000","30","30","40","10","20","1","0.0015"
"5","2000","30","30","40","10","0","2","0.0055"
"7","2000","30","30","40","10","60","2","0.002"
"4","2000","1","30","40","10","90","5","0.1175"
"8","2000","30","30","40","10","90","2","0.001"
"6","2000","30","30","40","10","20","2","0.0055"
"6","2000","30","30","40","10","20","3","0.0195"
"5","2000","30","30","40","10","0","3","0.017"
"3","2000","1","30","40","10","60","6","0.3185"
"1","2000","1","30","40","10","0","1","0.0025"
"7","2000","30","30","40","10","60","3","0.007"
"8","2000","30","30","40","10","90","3","0.0055"
"2","2000","1","30","40","10","20","2","0.0075"
"1","2000","1","30","40","10","0","2","0.009"
"4","2000","1","30","40","10","90","6","0.2715"
"7","2000","30","30","40","10","60","4","0.0235"
"8","2000","30","30","40","10","90","4","0.0145"
"6","2000","30","30","40","10","20","4","0.054"
"5","2000","30","30","40","10","0","4","0.0535"
"1","2000","1","30","40","10","0","3","0.029"
"2","2000","1","30","40","10","20","3","0.023"
"3","2000","1","30","40","10","60","7","0.3145"
"7","2000","30","30","40","10","60","5","0.057"
"5","2000","30","30","40","10","0","5","0.14"
"4","2000","1","30","40","10","90","7","0.335"
"1","2000","1","30","40","10","0","4","0.09"
"6","2000","30","30","40","10","20","5","0.1455"
"8","2000","30","30","40","10","90","5","0.0335"
"2","2000","1","30","40","10","20","4","0.0725"
"8","2000","30","30","40","10","90","6","0.0755"
"7","2000","30","30","40","10","60","6","0.148"
"6","2000","30","30","40","10","20","6","0.2825"
"1","2000","1","30","40","10","0","5","0.2145"
"3","2000","1","30","40","10","60","8","0.1085"
"4","2000","1","30","40","10","90","8","0.1735"
"5","2000","30","30","40","10","0","6","0.2855"
"8","2000","30","30","40","10","90","7","0.149"
"2","2000","1","30","40","10","20","5","0.19"
"4","2000","1","30","40","10","90","9","0.0265"
"7","2000","30","30","40","10","60","7","0.253"
"3","2000","1","30","40","10","60","9","0.011"
"5","2000","30","30","40","10","0","7","0.3335"
"8","2000","30","30","40","10","90","8","0.214"
"6","2000","30","30","40","10","20","7","0.311"
"1","2000","1","30","40","10","0","6","0.356"
"8","2000","30","30","40","10","90","9","0.182"
"5","2000","30","30","40","10","0","8","0.1315"
"4","2000","1","30","40","10","90","10","0.0065"
"6","2000","30","30","40","10","20","8","0.1495"
"2","2000","1","30","40","10","20","6","0.355"
"1","2000","1","30","40","10","0","7","0.2385"
"7","2000","30","30","40","10","60","8","0.2745"
"8","2000","30","30","40","10","90","10","0.0905"
"5","2000","30","30","40","10","0","9","0.026"
"4","2000","1","30","40","10","90","11","0.001"
"6","2000","30","30","40","10","20","9","0.025"
"3","2000","1","30","40","10","60","10","5.0E-4"
"8","2000","30","30","40","10","90","11","0.0475"
"5","2000","30","30","40","10","0","10","0.0025"
"3","2000","1","30","40","10","60","11","5.0E-4"
"7","2000","30","30","40","10","60","9","0.1495"
"4","2000","1","30","40","10","90","12","0.001"
"1","2000","1","30","40","10","0","8","0.0525"
"6","2000","30","30","40","10","20","10","0.0025"
"2","2000","1","30","40","10","20","7","0.2765"
"6","2000","30","30","40","10","20","11","0.001"
"7","2000","30","30","40","10","60","10","0.0475"
"1","2000","1","30","40","10","0","9","0.005"
"5","2000","30","30","40","10","0","11","5.0E-4"
"3","2000","1","30","40","10","60","12","0"
"8","2000","30","30","40","10","90","12","0.029"
"4","2000","1","30","40","10","90","13","0.001"
"6","2000","30","30","40","10","20","12","0"
"3","2000","1","30","40","10","60","13","0"
"2","2000","1","30","40","10","20","8","0.063"
"8","2000","30","30","40","10","90","13","0.024"
"4","2000","1","30","40","10","90","14","0.0015"
"3","2000","1","30","40","10","60","14","0"
"6","2000","30","30","40","10","20","13","0"
"5","2000","30","30","40","10","0","12","0"
"7","2000","30","30","40","10","60","11","0.019"
"1","2000","1","30","40","10","0","10","0"
"3","2000","1","30","40","10","60","15","0"
"4","2000","1","30","40","10","90","15","5.0E-4"
"6","2000","30","30","40","10","20","14","0"
"7","2000","30","30","40","10","60","12","0.009"
"2","2000","1","30","40","10","20","9","0.007"
"3","2000","1","30","40","10","60","16","0"
"8","2000","30","30","40","10","90","14","0.024"
"4","2000","1","30","40","10","90","16","5.0E-4"
"1","2000","1","30","40","10","0","11","0"
"5","2000","30","30","40","10","0","13","5.0E-4"
"6","2000","30","30","40","10","20","15","0"
"7","2000","30","30","40","10","60","13","0.0025"
"3","2000","1","30","40","10","60","17","0"
"1","2000","1","30","40","10","0","12","0"
"5","2000","30","30","40","10","0","14","0"
"4","2000","1","30","40","10","90","17","5.0E-4"
"8","2000","30","30","40","10","90","15","0.015"
"2","2000","1","30","40","10","20","10","5.0E-4"
"5","2000","30","30","40","10","0","15","0"
"6","2000","30","30","40","10","20","16","0"
