"BehaviorSpace results (NetLogo 6.2.1)"
"null"
"prob-vs-tiempo"
"01/20/2022 07:41:18:497 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","prob-adhesión","num-agentes","[step]","ticks"
"3","10","200","538","538"
"5","10","200","761","761"
"8","10","200","844","844"
"2","10","200","918","918"
"4","10","200","927","927"
"7","10","200","892","892"
"1","10","200","923","923"
"6","10","200","852","852"
"11","20","200","880","880"
"9","10","200","1060","1060"
"12","20","200","817","817"
"14","20","200","493","493"
"10","10","200","801","801"
"13","20","200","586","586"
"16","20","200","700","700"
"17","20","200","503","503"
"15","20","200","618","618"
"18","20","200","724","724"
"19","20","200","438","438"
"23","30","200","326","326"
"21","30","200","388","388"
"24","30","200","572","572"
"22","30","200","583","583"
"25","30","200","312","312"
"26","30","200","454","454"
"20","20","200","839","839"
"27","30","200","516","516"
"30","30","200","447","447"
"29","30","200","357","357"
"33","40","200","378","378"
"28","30","200","436","436"
"32","40","200","493","493"
"34","40","200","322","322"
"31","40","200","397","397"
"37","40","200","383","383"
"36","40","200","444","444"
"42","50","200","256","256"
"40","40","200","355","355"
"38","40","200","334","334"
"41","50","200","284","284"
"35","40","200","384","384"
"47","50","200","248","248"
"44","50","200","315","315"
"43","50","200","286","286"
"46","50","200","343","343"
"45","50","200","395","395"
"48","50","200","325","325"
"49","50","200","346","346"
"53","60","200","212","212"
"51","60","200","333","333"
"50","50","200","286","286"
"52","60","200","286","286"
"54","60","200","259","259"
"55","60","200","470","470"
"61","70","200","230","230"
"56","60","200","723","723"
"58","60","200","280","280"
"57","60","200","447","447"
"59","60","200","331","331"
"39","40","200","365","365"
"60","60","200","453","453"
"62","70","200","280","280"
"63","70","200","271","271"
"65","70","200","207","207"
"64","70","200","290","290"
"67","70","200","210","210"
"69","70","200","227","227"
"70","70","200","157","157"
"68","70","200","320","320"
"72","80","200","305","305"
"74","80","200","170","170"
"71","80","200","352","352"
"75","80","200","331","331"
"73","80","200","273","273"
"76","80","200","270","270"
"77","80","200","299","299"
"78","80","200","231","231"
"80","80","200","182","182"
"82","90","200","150","150"
"84","90","200","158","158"
"79","80","200","366","366"
"81","90","200","347","347"
"83","90","200","297","297"
"85","90","200","167","167"
"89","90","200","227","227"
"86","90","200","275","275"
"87","90","200","184","184"
"90","90","200","165","165"
"88","90","200","165","165"
"66","70","200","245","245"
